GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,LengthFG,Description,PlayType,Outcome,OutcomePts,FieldGoalMade
2019111711,2019-11-17,2,11,38,LA,CHI,4,1,80,38,"(11:38) 4-G.ZUERLEIN 38 YARD FIELD GOAL IS GOOD, CENTER-44-J.MCQUAIDE, HOLDER-6-J.HEKKER.",FIELD GOAL,IS GOOD,3,1
2019111711,2019-11-17,1,1,2,CHI,LA,4,6,71,47,"(1:02) 15-E.PINEIRO 47 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-48-P.SCALES, HOLDER-16-P.O'DONNELL.",FIELD GOAL,IS NO GOOD,0,0
2019111711,2019-11-17,1,11,59,CHI,LA,4,7,70,48,"(11:59) 15-E.PINEIRO 48 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-48-P.SCALES, HOLDER-16-P.O'DONNELL.",FIELD GOAL,IS NO GOOD,0,0
2019112403,2019-11-24,2,3,24,PIT,CIN,4,5,92,26,"(3:24) 9-C.BOSWELL 26 YARD FIELD GOAL IS GOOD, CENTER-57-K.CANADAY, HOLDER-4-J.BERRY.",FIELD GOAL,IS GOOD,3,1
2019111800,2019-11-18,2,0,1,LAC,KC,4,16,69,49,"(:01) (FIELD GOAL FORMATION) 4-M.BADGLEY 49 YARD FIELD GOAL IS GOOD, CENTER-45-C.MAZZA, HOLDER-1-T.LONG.",FIELD GOAL,IS GOOD,3,1
2019120101,2019-12-01,3,8,37,WAS,CAR,4,15,82,36,"(8:37) 3-D.HOPKINS 36 YARD FIELD GOAL IS GOOD, CENTER-57-N.SUNDBERG, HOLDER-5-T.WAY.",FIELD GOAL,IS GOOD,3,1
2019120101,2019-12-01,2,0,10,WAS,CAR,3,28,69,49,"(:10) 3-D.HOPKINS 49 YARD FIELD GOAL IS BLOCKED (77-K.LOVE), CENTER-57-N.SUNDBERG, HOLDER-5-T.WAY, RECOVERED BY WAS-72-D.PENN AT CAR 32. 72-D.PENN TO CAR 30 FOR 2 YARDS (25-E.REID).",FIELD GOAL,BLOCKED,0,0
2019112409,2019-11-24,2,12,51,NE,DAL,4,7,74,44,"(12:51) 2-N.FOLK 44 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-7-J.BAILEY.",FIELD GOAL,IS GOOD,3,1
2019112401,2019-11-24,3,7,45,DEN,BUF,4,13,73,45,"(7:45) 8-B.MCMANUS 45 YARD FIELD GOAL IS GOOD, CENTER-42-C.KREITER, HOLDER-6-C.WADMAN.",FIELD GOAL,IS GOOD,3,1
2019112401,2019-11-24,2,8,12,BUF,DEN,4,5,95,23,"(8:12) 4-S.HAUSCHKA 23 YARD FIELD GOAL IS GOOD, CENTER-69-R.FERGUSON, HOLDER-9-C.BOJORQUEZ.",FIELD GOAL,IS GOOD,3,1
2019111710,2019-11-17,2,1,47,NE,PHI,4,9,79,39,"(1:47) 2-N.FOLK 39 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-7-J.BAILEY.",FIELD GOAL,IS GOOD,3,1
2019111710,2019-11-17,2,3,24,NE,PHI,4,4,96,22,"(3:24) 2-N.FOLK 22 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-7-J.BAILEY.",FIELD GOAL,IS GOOD,3,1
2019111710,2019-11-17,2,8,40,NE,PHI,4,7,83,35,"(8:40) 2-N.FOLK 35 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-7-J.BAILEY.",FIELD GOAL,IS GOOD,3,1
2019111710,2019-11-17,1,13,42,PHI,NE,4,8,76,42,"(13:42) 4-J.ELLIOTT 42 YARD FIELD GOAL IS GOOD, CENTER-45-R.LOVATO, HOLDER-1-C.JOHNSTON.",FIELD GOAL,IS GOOD,3,1
