name,TSID,turn_in_leg,pbt_start,n_throws,triple_seq,n_success,wonprevious
Simon Whitlock,229,1,501,3,1 1 1,3,1
Simon Whitlock,229,2,321,3,1 0 1,2,1
Simon Whitlock,229,3,200,2,0 0,0,1
Simon Whitlock,230,1,501,3,0 0 0,0,1
Simon Whitlock,230,2,441,3,1 0 1,2,1
Simon Whitlock,230,3,301,3,0 0 0,0,1
Simon Whitlock,230,4,242,2,1 0,1,1
Simon Whitlock,231,1,501,3,1 1 0,2,0
Simon Whitlock,231,2,376,3,0 0 1,1,0
Simon Whitlock,231,3,279,3,0 0 0,0,0
Simon Whitlock,231,4,252,2,1 1,2,0
Simon Whitlock,232,1,501,3,0 1 0,1,0
Simon Whitlock,232,2,401,3,0 0 1,1,0
Simon Whitlock,232,3,310,3,1 1 1,3,0
Simon Whitlock,233,1,501,3,0 0 0,0,1
Simon Whitlock,233,2,457,3,0 1 0,1,1
Simon Whitlock,233,3,357,3,0 0 0,0,1
Simon Whitlock,233,4,299,3,1 1 1,3,1
Simon Whitlock,234,1,501,3,0 0 0,0,0
Simon Whitlock,234,2,442,3,0 1 1,2,0
Simon Whitlock,234,3,308,3,0 0 1,1,0
Simon Whitlock,234,4,245,3,0 0 0,0,0
Simon Whitlock,234,5,186,1,0,0,0
Simon Whitlock,235,1,501,3,0 0 0,0,0
Simon Whitlock,235,2,442,3,0 1 0,1,0
Simon Whitlock,235,3,342,3,0 0 0,0,0
Simon Whitlock,235,4,297,3,0 1 1,2,0
Simon Whitlock,236,1,501,3,1 0 0,1,0
Simon Whitlock,236,2,401,3,0 0 0,0,0
Simon Whitlock,236,3,342,3,0 0 1,1,0
Simon Whitlock,236,4,260,3,0 1 1,2,0
Simon Whitlock,237,1,501,3,1 1 1,3,1
Simon Whitlock,237,2,321,3,0 1 1,2,1
Simon Whitlock,237,3,181,1,0,0,1
Simon Whitlock,238,1,501,3,1 0 0,1,0
Simon Whitlock,238,2,420,3,1 1 0,2,0
Simon Whitlock,238,3,280,3,1 0 1,2,0
Simon Whitlock,239,1,501,3,0 1 0,1,1
Simon Whitlock,239,2,405,3,0 0 0,0,1
Simon Whitlock,239,3,348,3,0 0 1,1,1
Simon Whitlock,239,4,252,2,1 0,1,1
Simon Whitlock,240,1,501,3,0 0 1,1,1
Simon Whitlock,240,2,406,3,0 0 1,1,1
Simon Whitlock,240,3,309,3,1 1 1,3,1
Simon Whitlock,241,1,501,3,0 0 1,1,1
Simon Whitlock,241,2,408,3,1 0 1,2,1
Simon Whitlock,241,3,268,3,0 1 1,2,1
Simon Whitlock,242,1,501,3,0 0 0,0,0
Simon Whitlock,242,2,443,3,1 1 0,2,0
Simon Whitlock,242,3,303,3,1 0 0,1,0
Simon Whitlock,242,4,224,1,1,1,0
Simon Whitlock,243,1,501,3,0 0 1,1,1
Simon Whitlock,243,2,401,3,0 1 1,2,1
Simon Whitlock,243,3,261,2,1 1,2,1
Simon Whitlock,244,1,501,3,0 0 0,0,0
Simon Whitlock,244,2,447,3,1 1 1,3,0
Simon Whitlock,244,3,267,3,0 1 1,2,0
Simon Whitlock,245,1,501,3,0 0 0,0,1
Simon Whitlock,245,2,441,3,0 0 1,1,1
Simon Whitlock,245,3,348,3,0 0 0,0,1
Simon Whitlock,245,4,290,3,0 0 0,0,1
Simon Whitlock,246,1,501,3,0 0 0,0,0
Simon Whitlock,246,2,454,3,0 0 1,1,0
Simon Whitlock,246,3,361,3,1 1 0,2,0
Simon Whitlock,246,4,236,3,0 0 1,1,0
Simon Whitlock,247,1,501,3,1 1 0,2,0
Simon Whitlock,247,2,361,3,0 1 0,1,0
Simon Whitlock,247,3,268,3,0 0 1,1,0
Simon Whitlock,247,4,186,1,1,1,0
Simon Whitlock,248,1,501,3,1 0 0,1,0
Simon Whitlock,248,2,438,3,0 0 0,0,0
Simon Whitlock,248,3,379,3,1 1 1,3,0
Simon Whitlock,248,4,199,1,0,0,0
Simon Whitlock,249,1,501,3,0 0 0,0,1
Simon Whitlock,249,2,474,3,1 1 1,3,1
Simon Whitlock,249,3,294,3,0 0 0,0,1
Simon Whitlock,249,4,240,3,0 0 1,1,1
Simon Whitlock,250,1,501,3,0 1 1,2,0
Simon Whitlock,250,2,361,3,0 1 1,2,0
Simon Whitlock,250,3,221,3,0 0 0,0,0
Simon Whitlock,251,1,501,3,0 0 1,1,0
